seq,mean_x,std_x,count_x,mean_y,std_y,count_y,pvalue
A-B,5.166167471312318,0.14602665398501216,66,5.0226408240470315,0.19107541736226588,39,0.0001428876318450861
A-D,5.868533111131049,0.8336095284301922,186,5.316176693110093,0.19504237602388025,30,3.713042212735541e-13
A-I,5.03752034395212,0.19873850073458404,65,5.195421455354799,0.20021977017771098,30,0.0007147507075262446
A-K,5.192286168077712,0.22443062422317112,29,5.030812622710526,0.13429703887182237,30,0.0016830313673100394
A-L,5.030937777321474,0.1989976985888337,210,5.0775579696366915,0.20920580701449265,171,0.027657242609505635
A-M,5.1945198731495426,0.16667370963402375,30,5.123491823465373,0.13612694938726472,26,0.0850186460176304
A-N,5.199085252373046,0.18284205421062394,234,5.033950311486145,0.18883945021210116,197,2.186843123495527e-18
A-P,5.062957883160703,0.18189727376902184,55,5.020125032225638,0.1271923326014441,27,0.22054000558214282
A-R,5.187290060590018,0.1780062605313542,481,5.1943232186720145,0.18720522541898918,120,0.7105223496295004
A-S,5.704438788030137,0.8032690260062811,592,5.202809335407177,0.2341212655719768,70,3.3780126705550455e-26
A-SPACE,5.26369339027021,0.4417661772890462,786,5.109363143214402,0.146110285291272,95,6.770360251230368e-12
A-T,5.154368201518602,0.17646369266142498,213,5.257441101878054,0.19495388705398567,142,7.342077047533445e-07
A-T-I-O-N,5.911623329585785,0.1155121415111314,46,6.04695518523327,0.5657358395135048,21,0.2899558850965591
A-Y,5.1067892021882315,0.17058843745453758,32,5.076034193819048,0.1527785767749742,31,0.45357552324787265
B-E,5.270790258963371,0.1427006842378067,68,5.03931040649891,0.15852648728194202,89,2.562249157420073e-17
B-U,5.146963399919464,0.14029312007987044,28,5.141353994847484,0.11852574567197854,26,0.8742213146435545
C-A,5.288316187912933,0.14578063189938137,271,5.235918063617759,0.13403487961474225,70,0.004996250487249785
C-E,5.251516639800844,0.13126440104612516,70,5.199660694891855,0.16368898569298815,114,0.019213124835059322
C-H,5.09322352172289,0.14851918710811504,159,5.058601057631455,0.14715296072324777,61,0.12206829921865792
C-I,5.072192865859235,0.23957217232257352,51,5.001241077362393,0.17505494343494876,24,0.15292923310325593
C-K,5.065054910315234,0.17552535919784354,92,5.109593838543241,0.15089179715882162,54,0.10790523132154864
C-L,4.959081850004252,0.15413987885470576,34,5.135652240954976,0.16099073793490518,30,3.5575281368672316e-05
C-O,5.120392687995296,0.24221111066622264,139,5.115926794058084,0.20436268978896494,92,0.8802056802232656
C-O-M,5.464971147907473,0.14197956999594197,54,5.422118555806758,0.14370770079970097,58,0.11545388751440382
C-O-N,5.588973072372574,0.10664580288633375,31,5.434155142372706,0.15105384701563423,42,2.4052580461036173e-06
CONTROL-SHIFT,6.234757895923031,0.7075883374919275,447,6.725388309489081,0.8998500252602809,52,0.00034947527199092915
CONTROL-V,5.202288084088976,0.14830829921542757,406,5.20520846808874,0.12598444995807317,33,0.900179752991798
D-A,6.113359071155484,0.8056511974834499,180,5.260120301204442,0.13930210207982455,26,3.4544655030357524e-28
D-I,5.085011033690355,0.21709622294934747,95,5.038556981036124,0.19046378179592768,43,0.20759940088610473
D-O,5.152939373705907,0.18415003877307867,56,5.087222077397445,0.1432248050710467,58,0.03622851163581639
D-SPACE,5.256609140224108,0.3978407974656499,700,5.059884433130055,0.18217143833914096,216,1.2833393376727106e-22
E-A,5.972950474106478,0.8312144264594927,500,5.24132374646991,0.18456841567816884,118,5.43733089524577e-58
E-D,5.236126133506203,0.21417115539511988,217,5.322021722748737,0.14060312118063323,39,0.0019941394524125894
E-L,5.091689719086058,0.1921570778350819,40,5.0654679797587585,0.17709121066511124,73,0.4780912727007348
