seq,mean,std,count
0,1.9804402168973076,2.8520659828702315,50
1,4.89272338350223,0.3814100804291598,760
10,5.096091594347945,0.8360289453961951,463
10-10,5.949898263935903,0.7839779300557337,168
10-10-10,6.524007192015986,0.7105600741180624,86
10-10-10-10,6.765270512642198,0.6326671750009332,66
10-10-10-10-10,6.930756684563293,0.5588648498599639,55
10-10-10-10-10-10,7.06502409053451,0.4874686917230078,47
10-10-10-10-10-10-10,7.174467666843158,0.42018406845757145,41
10-10-10-10-10-10-10-10,7.252119324350914,0.36297087784386495,37
10-10-10-10-10-10-10-10-10,7.3055632025016175,0.3266925072691296,34
10-10-10-10-10-10-10-10-10-10,7.359367768140255,0.28816352390099825,31
11,4.696318310424626,0.5682547764264435,691
11-11,5.652322715257486,0.4411905137780949,138
11-11-11,6.095844452936267,0.39196618994937654,55
12,5.00234389276783,0.7525424749648243,208
12-12,6.2349069285747705,0.56030683834491,47
12-12-12,6.418432250095218,0.39616092398671876,39
12-12-12-12,6.513989337493085,0.32087304971695474,34
13,4.63996870535487,0.5606339477571699,218
14,4.712198928959386,0.7841434908963556,6259
14-14,5.533288532425304,0.3784987081587908,2242
14-14-14,5.945019019556375,0.25542572441800276,1191
14-14-14-14,6.2297668922783656,0.18663421299545574,606
14-14-14-14-14,6.452374865382069,0.13977842348114125,295
14-14-14-14-14-14,6.635290800389683,0.10469314386901091,130
14-14-14-14-14-14-14,6.772594370806048,0.07792354005346813,54
14-18,5.2704744316662575,0.20712925183475317,56
14-20,5.274540627272707,0.20462578689353667,31
14-30,5.280431043210325,0.1729317068756112,30
14-57,5.324244587187818,0.1506715325228389,41
15,4.869957706509837,0.4937815493213718,4091
15-15,5.478520572211723,0.3727544388463284,63
16,5.202641238490672,0.9453267762979986,118
16-16,6.472914981340863,0.6799162166960028,35
16-16-16,6.629279349788041,0.5490060254875063,31
16-22,5.431489015484265,0.14380988473777906,32
17,5.279984208701727,0.8217125676221134,978
17-17,6.087441913865486,0.6215594499041404,406
17-17-17,6.327046496331705,0.5122132981188443,307
17-17-17-17,6.5110908214150855,0.435096143265413,235
17-17-17-17-17,6.63881942450522,0.38023356954642684,190
17-17-17-17-17-17,6.749532029481596,0.3350284751947816,153
17-17-17-17-17-17-17,6.846229380369582,0.298133640791109,123
17-17-17-17-17-17-17-17,6.945365205963954,0.2664925339621145,94
17-17-17-17-17-17-17-17-17,7.031529972319032,0.23525170641466545,73
17-17-17-17-17-17-17-17-17-17,7.098295814054426,0.20821392663075,59
