enum,code,key
0,0,UNDEFINED
1,1,ESCAPE
2,2,1
3,3,2
4,4,3
5,5,4
6,6,5
7,7,6
8,8,7
9,9,8
10,10,9
11,11,0
12,12,MINUS
13,13,EQUALS
14,14,BACKSPACE
15,15,TAB
16,16,Q
17,17,W
18,18,E
19,19,R
20,20,T
21,21,Y
22,22,U
23,23,I
24,24,O
25,25,P
26,26,OPEN_BRACKET
27,27,CLOSE_BRACKET
28,28,ENTER
29,29,CONTROL
30,30,A
31,31,S
32,32,D
33,33,F
34,34,G
35,35,H
36,36,J
37,37,K
38,38,L
39,39,SEMICOLON
40,40,QUOTE
41,41,BACKQUOTE
42,42,SHIFT
43,43,BACK_SLASH
44,44,Z
45,45,X
46,46,C
47,47,V
48,48,B
49,49,N
50,50,M
51,51,COMMA
52,52,PERIOD
53,53,SLASH
54,56,ALT
55,57,SPACE
56,58,CAPS_LOCK
57,59,F1
58,60,F2
59,61,F3
60,62,F4
61,63,F5
62,64,F6
63,65,F7
64,66,F8
65,67,F9
66,68,F10
67,69,NUM_LOCK
68,70,SCROLL_LOCK
69,83,SEPARATOR
70,87,F11
71,88,F12
72,91,F13
73,92,F14
74,93,F15
75,99,F16
76,100,F17
77,101,F18
78,102,F19
79,103,F20
80,104,F21
81,105,F22
82,106,F23
83,107,F24
84,112,KATAKANA
85,115,UNDERSCORE
86,119,FURIGANA
87,121,KANJI
88,123,HIRAGANA
89,125,YEN
90,3639,PRINTSCREEN
91,3653,PAUSE
92,3655,HOME
93,3657,PAGE_UP
94,3663,END
95,3665,PAGE_DOWN
96,3666,INSERT
97,3667,DELETE
98,3675,META
99,3677,CONTEXT_MENU
100,57360,MEDIA_PREVIOUS
101,57369,MEDIA_NEXT
102,57376,VOLUME_MUTE
103,57377,APP_CALCULATOR
104,57378,MEDIA_PLAY
105,57380,MEDIA_STOP
106,57388,MEDIA_EJECT
107,57390,VOLUME_DOWN
108,57392,VOLUME_UP
109,57394,BROWSER_HOME
110,57404,APP_MUSIC
111,57416,UP
112,57419,LEFT
113,57420,CLEAR
114,57421,RIGHT
115,57424,DOWN
116,57438,POWER
117,57439,SLEEP
118,57443,WAKE
119,57444,APP_PICTURES
120,57445,BROWSER_SEARCH
121,57446,BROWSER_FAVORITES
122,57447,BROWSER_REFRESH
123,57448,BROWSER_STOP
124,57449,BROWSER_FORWARD
125,57450,BROWSER_BACK
126,57452,APP_MAIL
127,57453,MEDIA_SELECT
128,65396,SUN_OPEN
129,65397,SUN_HELP
130,65398,SUN_PROPS
131,65399,SUN_FRONT
132,65400,SUN_STOP
133,65401,SUN_AGAIN
134,65402,SUN_UNDO
135,65403,SUN_CUT
136,65404,SUN_COPY
137,65405,SUN_INSERT
138,65406,SUN_FIND
139,65535,CHAR_UNDEFINED
